sex,race,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,r_charge_desc,r_charge_degree
Male,Other,F,Aggravated Assault w/Firearm,1,Low,0,,
Male,African-American,F,Felony Battery w/Prior Convict,3,Low,1,Felony Battery (Dom Strang),(F3)
Male,African-American,F,Possession of Cocaine,4,Low,1,Driving Under The Influence,(M1)
Male,African-American,F,Possession of Cannabis,8,High,0,,
Male,Other,F,arrest case no charge,1,Low,0,,
Male,Other,M,Battery,1,Low,0,,
Male,Caucasian,F,Possession Burglary Tools,6,Medium,1,Poss of Firearm by Convic Felo,(F2)
Male,Other,F,arrest case no charge,4,Low,0,,
Female,Caucasian,M,Battery,1,Low,0,,
Male,Caucasian,F,Insurance Fraud,3,Low,1,Battery,(M1)
Male,Caucasian,F,"Poss 3,4 MDMA (Ecstasy)",4,Low,0,,
Male,African-American,M,Battery,6,Medium,1,Driving License Suspended,(M2)
Female,Caucasian,M,Battery,1,Low,0,,
Male,African-American,F,"Poss3,4 Methylenedioxymethcath",4,Low,0,,
Female,Caucasian,F,arrest case no charge,1,Low,1,Grand Theft (Motor Vehicle),(F3)
Male,African-American,F,Felony Driving While Lic Suspd,3,Low,1,Criminal Mischief>$200<$1000,(M1)
Male,Hispanic,M,Battery,1,Low,0,,
Male,African-American,F,Grand Theft in the 3rd Degree,10,High,0,,
Male,Caucasian,F,Driving While License Revoked,5,Medium,1,Grand Theft in the 3rd Degree,(F3)
Male,Caucasian,F,Possession Of Heroin,3,Low,1,Possession of Cocaine,(F3)
Male,African-American,F,arrest case no charge,6,Medium,1,Poss Cocaine/Intent To Del/Sel,(F2)
Male,African-American,F,Battery on Law Enforc Officer,9,High,1,Prowling/Loitering,(M2)
Male,Caucasian,M,Possession Of Methamphetamine,2,Low,1,Operating W/O Valid License,(M2)
Female,Caucasian,F,Introduce Contraband Into Jail,4,Low,0,,
Male,Hispanic,F,Lewd/Lasc Battery Pers 12+/<16,4,Low,1,Possess Cannabis/20 Grams Or Less,(M1)
Male,Caucasian,M,Susp Drivers Lic 1st Offense,1,Low,0,,
Male,Other,M,Battery,3,Low,0,,
Male,African-American,F,Carrying Concealed Firearm,3,Low,1,Driving License Suspended,(M2)
Female,Caucasian,F,arrest case no charge,3,Low,0,,
Male,African-American,F,Pos Cannabis W/Intent Sel/Del,7,Medium,1,Possess Cannabis/20 Grams Or Less,(M1)
